Artist ID,Name,Nationality,Gender,Birth Year,Death Year
633,Arthur Emil Bofinger,Swiss,Male,1909,
634,Jóhanna Boga,Icelandic,Female,,
635,Varujan Boghosian,American,Male,1926,
636,Theodor Bogler,German,Male,1897,1968
637,Alexander Bogomazov,Russian,Male,1880,1930
638,Blythe Bohnen,American,Female,1940,
639,Olaf von Bohr,Austrian,Male,1927,
640,Karl Bohrmann,German,Male,1928,1998
641,Bruce Boice,American,Male,1941,
642,Charles Boily,French,Male,,
643,Boissonas,Swiss,,,
644,Richard Boix,Spanish,Male,1894,1949
645,Jakob (Jack) Friedrich Bollschweiler,German,Male,1888,1938
646,Roger Bolomey,American,Male,1918,
647,Jay Bolotin,American,Male,1949,
648,Ilya Bolotowsky,American,Male,1907,1981
649,Christian Boltanski,French,Male,1944,
650,Michael Bolus,British,Male,1934,2013
651,David Bomberg,British,Male,1890,1957
652,Camille Bombois,French,Male,1883,1970
653,Giorgio Bompadre,Italian,Male,,
654,Bona,Italian,Female,1926,
655,Claus Bonderup,Danish,Male,1943,
656,Emile Bondonneau,French,Male,,
657,Muirhead Bone,British,Male,1876,1953
658,Antonio Bonet,Spanish,Male,1913,1989
659,Rodolfo Bonetto,Italian,Male,1929,1991
660,Marcelo Bonevardi,Argentine,Male,1929,1994
661,Felix Bonfils,French,Male,1831,1885
662,Dusti Bongé,American,Female,1903,1993
664,Paolo Boni,Italian,Male,1926,
665,Pierre Bonnard,French,Male,1867,1947
666,William Bonnell,American,Male,,
668,Maria Bonomi,Brazilian,Female,1935,
669,Robert Bononno,American,Male,,
670,Lee Bontecou,American,Female,1931,
671,Fabio Bonzi,Italian,Male,1943,
673,Peter Booth,Australian,Male,1940,
674,Osvaldo Borda,Argentine,Male,1929,
675,Enrico Bordoni,Italian,Male,1904,1969
676,Paul-Émile Borduas,Canadian,Male,1905,1960
677,Wendela Boreel,British,Female,,
678,Francisco Borès,Spanish,Male,1898,1972
682,Jonathan Borofsky,American,Male,1942,
684,Arnold von Borsig,German,Male,,
685,Elena Borstein,American,Female,1946,
686,Sándor (Alexander) Bortnyik,Hungarian,Male,1893,1976
687,Fritz Boscovits,Swiss,Male,1871,1965
688,Derek Boshier,British,Male,1937,
689,Richard Bosman,Australian,Male,1944,
690,Michael P. Bosniak,American,Male,,
691,Rodolphe-Théophile Bosshard,Swiss,Male,1889,1960
692,Check  Boterf,American,Male,1934,
693,Fernando Botero,Colombian,Male,1932,
694,Dorr Bothwell,American,Female,1902,2000
696,Mario Botta,Swiss,Male,1943,
697,Kenneth J. Botto,American,Male,1937,
698,Édouard Boubat,French,Male,1923,1999
699,René Robert Bouché,American,Male,1905,1963
700,Jean Boucher,French,Male,,
701,Alice Boughton,American,Female,1865,1943
702,Bouillon,French,,,
703,Firmin Bouisset,French,Male,1859,1925
704,Bart Boumans,Dutch,Male,,
705,Christine Boumeester,Dutch,Female,1904,1971
